exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
asia,0,0
asia,2,6
asia,0,0
asia,0,0
asia,4,15
asia,1,6
asia,1,3
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,1,5
child,2,3
child,2,4
child,4,17
child,1,1
child,1,1
child,0,0
child,1,1
child,1,1
child,1,1
child,1,2
child,1,2
insurance,1,12
insurance,2,9
insurance,2,18
insurance,2,16
insurance,0,12
insurance,2,18
insurance,2,23
insurance,1,12
insurance,1,15
insurance,1,23
insurance,2,28
insurance,1,20
alarm,1,4
alarm,0,0
alarm,1,4
alarm,2,9
alarm,1,4
alarm,1,4
alarm,0,0
alarm,0,1
alarm,1,1
alarm,0,0
alarm,0,0
alarm,0,0
mildew,0,17
mildew,0,16
mildew,0,16
mildew,0,17
mildew,0,11
mildew,0,11
mildew,2,10
mildew,2,10
mildew,1,12
mildew,2,10
mildew,2,9
mildew,2,12
water,0,20
water,0,9
water,0,15
water,0,8
water,0,11
water,0,18
water,0,14
water,0,21
water,0,8
water,0,10
water,0,14
water,0,19
barley,0,18
barley,0,24
barley,0,38
barley,0,20
barley,0,18
barley,2,22
barley,0,7
barley,0,8
barley,0,8
barley,0,12
barley,0,8
