exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
asia,0,0
asia,2,6
asia,0,0
asia,0,0
asia,3,5
asia,1,8
asia,1,4
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,1,6
child,1,1
child,2,4
child,4,18
child,1,1
child,1,1
child,0,0
child,1,1
child,1,1
child,1,1
child,1,1
child,1,1
insurance,1,15
insurance,2,9
insurance,2,13
insurance,2,19
insurance,0,14
insurance,2,22
insurance,2,21
insurance,1,14
insurance,1,14
insurance,1,15
insurance,3,12
insurance,1,16
alarm,3,17
alarm,0,0
alarm,1,4
alarm,5,38
alarm,4,20
alarm,0,2
alarm,2,6
alarm,0,1
alarm,1,4
alarm,0,1
alarm,0,0
alarm,0,0
mildew,0,31
mildew,0,31
mildew,0,31
mildew,0,33
mildew,0,32
mildew,0,29
mildew,4,31
mildew,4,30
mildew,3,40
mildew,4,29
mildew,5,32
mildew,4,27
water,0,16
water,0,6
water,0,16
water,0,9
water,0,11
water,0,12
water,0,16
water,0,22
water,0,11
water,0,15
water,0,14
water,0,20
barley,0,17
barley,0,22
barley,0,27
barley,0,19
barley,0,18
barley,1,15
barley,0,7
barley,0,13
barley,0,9
barley,0,9
barley,0,9
