exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,1
asia-250,0,0
asia-250,2,5
asia-250,0,0
asia-250,0,0
asia-250,3,11
asia-250,2,7
asia-1000,1,3
asia-1000,0,0
asia-1000,2,6
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,0,3
child-500,2,6
child-500,2,6
child-500,4,9
child-500,2,4
child-500,1,1
child-2000,1,3
child-2000,1,3
child-2000,1,1
child-2000,1,2
child-2000,1,3
child-2000,2,4
insurance-500,4,25
insurance-500,3,17
insurance-500,2,21
insurance-500,3,22
insurance-500,1,19
insurance-500,2,28
insurance-2000,2,29
insurance-2000,4,25
insurance-2000,2,16
insurance-2000,1,23
insurance-2000,3,26
insurance-2000,4,31
alarm-1000,4,20
alarm-1000,2,12
alarm-1000,4,20
alarm-1000,6,31
alarm-1000,3,17
alarm-1000,2,11
alarm-4000,4,19
alarm-4000,0,7
alarm-4000,1,11
alarm-4000,0,9
alarm-4000,2,10
alarm-4000,1,9
mildew-8000,0,31
mildew-8000,0,30
mildew-8000,0,33
mildew-8000,0,32
mildew-8000,0,32
mildew-8000,0,28
mildew-32000,3,21
mildew-32000,4,35
mildew-32000,4,33
mildew-32000,4,34
mildew-32000,5,40
mildew-32000,4,31
water-1000,0,1
water-1000,0,20
water-1000,0,2
water-1000,0,6
water-1000,0,7
water-1000,0,3
water-4000,0,2
water-4000,0,13
water-4000,0,7
water-4000,0,6
water-4000,0,5
water-4000,0,1
barley-2000,1,29
barley-2000,1,28
barley-2000,2,36
barley-2000,1,22
barley-2000,1,33
barley-2000,1,24
barley-8000,2,35
barley-8000,1,31
barley-8000,3,22
barley-8000,1,9
barley-8000,3,21
barley-8000,6,72
