exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,1
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,1
cancer,0,1
cancer,0,0
asia,0,0
asia,5,17
asia,0,0
asia,1,2
asia,1,3
asia,1,7
asia,1,6
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,0,1
child,2,5
child,2,5
child,3,12
child,1,1
child,1,1
child,0,0
child,1,1
child,0,0
child,0,0
child,1,2
child,1,2
insurance,1,9
insurance,1,10
insurance,1,8
insurance,1,21
insurance,0,6
insurance,1,12
insurance,1,18
insurance,1,7
insurance,1,9
insurance,1,11
insurance,1,9
insurance,1,26
alarm,0,2
alarm,2,9
alarm,0,2
alarm,2,12
alarm,0,4
alarm,0,3
alarm,0,3
alarm,0,0
alarm,0,0
alarm,0,0
alarm,0,0
alarm,0,0
mildew,0,10
mildew,0,8
mildew,0,8
mildew,0,14
mildew,0,12
mildew,0,9
mildew,2,3
mildew,0,2
mildew,2,4
mildew,0,3
mildew,2,6
mildew,3,6
water,0,19
water,0,20
water,1,29
water,2,27
water,1,30
water,0,18
water,0,9
water,0,9
water,0,6
water,0,9
water,1,14
water,0,14
barley,0,4
barley,0,4
barley,0,12
barley,0,15
barley,0,12
barley,0,10
barley,0,7
barley,0,14
barley,0,2
barley,0,6
barley,0,4
barley,0,5
