exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
asia-250,0,0
asia-250,4,19
asia-250,0,0
asia-250,1,3
asia-250,4,12
asia-250,4,18
asia-1000,1,4
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,1,3
child-500,1,3
child-500,2,5
child-500,3,10
child-500,1,1
child-500,1,3
child-2000,1,3
child-2000,1,6
child-2000,0,0
child-2000,2,5
child-2000,1,4
child-2000,2,5
insurance-500,3,15
insurance-500,1,11
insurance-500,1,10
insurance-500,3,22
insurance-500,0,12
insurance-500,1,19
insurance-2000,3,30
insurance-2000,3,27
insurance-2000,1,17
insurance-2000,3,30
insurance-2000,3,22
insurance-2000,3,22
alarm-1000,2,15
alarm-1000,4,20
alarm-1000,2,15
alarm-1000,2,12
alarm-1000,2,21
alarm-1000,3,16
alarm-4000,1,8
alarm-4000,2,11
alarm-4000,1,10
alarm-4000,0,12
alarm-4000,2,15
alarm-4000,1,11
mildew-8000,1,19
mildew-8000,1,11
mildew-8000,1,17
mildew-8000,2,14
mildew-8000,2,14
mildew-8000,1,16
mildew-32000,3,18
mildew-32000,3,18
mildew-32000,4,21
mildew-32000,2,15
mildew-32000,4,26
mildew-32000,4,19
water-1000,0,16
water-1000,0,4
water-1000,0,6
water-1000,2,19
water-1000,2,10
water-1000,0,9
water-4000,2,7
water-4000,1,6
water-4000,0,4
water-4000,0,16
water-4000,0,11
water-4000,0,21
barley-2000,1,14
barley-2000,2,14
barley-2000,2,19
barley-2000,2,17
barley-2000,0,9
barley-2000,2,24
barley-8000,1,19
barley-8000,0,11
barley-8000,1,11
barley-8000,1,27
barley-8000,1,12
barley-8000,1,13
