exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,1
asia-250,0,0
asia-250,2,5
asia-250,0,0
asia-250,0,0
asia-250,2,6
asia-250,2,5
asia-1000,1,2
asia-1000,0,0
asia-1000,2,6
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,0,3
child-500,2,7
child-500,2,5
child-500,4,9
child-500,2,3
child-500,1,1
child-2000,1,4
child-2000,1,2
child-2000,1,1
child-2000,1,2
child-2000,2,8
child-2000,2,3
insurance-500,2,14
insurance-500,3,17
insurance-500,2,18
insurance-500,2,18
insurance-500,1,12
insurance-500,1,15
insurance-2000,2,22
insurance-2000,4,19
insurance-2000,1,16
insurance-2000,1,20
insurance-2000,3,17
insurance-2000,4,23
alarm-1000,2,29
alarm-1000,2,19
alarm-1000,3,23
alarm-1000,4,21
alarm-1000,1,19
alarm-1000,2,22
alarm-4000,2,22
alarm-4000,0,12
alarm-4000,1,21
alarm-4000,0,21
alarm-4000,2,13
alarm-4000,1,19
mildew-8000,0,13
mildew-8000,0,13
mildew-8000,0,22
mildew-8000,0,15
mildew-8000,0,16
mildew-8000,0,14
mildew-32000,2,18
mildew-32000,3,20
mildew-32000,3,12
mildew-32000,3,18
mildew-32000,3,15
mildew-32000,3,10
water-1000,0,1
water-1000,0,20
water-1000,0,2
water-1000,0,6
water-1000,0,6
water-1000,0,3
water-4000,0,2
water-4000,0,12
water-4000,0,6
water-4000,0,6
water-4000,0,5
water-4000,0,0
barley-2000,1,29
barley-2000,1,29
barley-2000,2,20
barley-2000,1,15
barley-2000,1,18
barley-2000,1,15
barley-8000,2,37
barley-8000,1,34
barley-8000,3,28
barley-8000,1,9
barley-8000,3,19
barley-8000,3,29
